drug_id,drug_name
DB00564,Carbamazepine
DB01759,Kojic acid
DB00451,Levothyroxine
DB00641,Simvastatin
DB01072,Atazanavir
DB00481,Raloxifene
DB00814,Meloxicam
DB00636,Clofibrate
DB04173,Fructose
DB00091,Cyclosporine
DB00851,Dacarbazine
DB01656,Roflumilast
DB01378,Magnesium cation
DB00749,Etodolac
DB00300,Tenofovir disoproxil
DB01093,Dimethyl sulfoxide
DB01164,Calcium chloride
DB00515,Cisplatin
DB01394,Colchicine
DB00727,Nitroglycerin
DB04513,N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide
DB01235,Levodopa
DB01174,Phenobarbital
DB00170,Menadione
DB01042,Melphalan
DB00312,Pentobarbital
DB00763,Methimazole
DB00396,Progesterone
DB00820,Tadalafil
DB00722,Lisinopril
DB01026,Ketoconazole
DB00758,Clopidogrel
DB01370,Aluminium
DB02365,"1,10-Phenanthroline"
DB00421,Spironolactone
DB02712,Sorbinil
DB00388,Phenylephrine
DB00755,Tretinoin
DB01110,Miconazole
DB00934,Maprotiline
DB00199,Erythromycin
DB04381,Crotonaldehyde
DB00323,Tolcapone
DB00040,Glucagon
DB00252,Phenytoin
DB00158,Folic acid
DB00122,Choline
DB02210,"Hexane-1,6-Diol"
DB00503,Ritonavir
DB00910,Paricalcitol
DB00773,Etoposide
DB04540,Cholesterol
DB01750,1-naphthaleneacetic acid
DB01454,Midomafetamine
DB00495,Zidovudine
DB00305,Mitomycin
DB00714,Apomorphine
DB01919,Pentanal
DB00197,Troglitazone
DB00574,Fenfluramine
DB01006,Letrozole
DB00897,Triazolam
DB01202,Levetiracetam
DB04817,Metamizole
DB00177,Valsartan
DB00313,Valproic acid
DB01173,Orphenadrine
DB00381,Amlodipine
DB02424,Geldanamycin
DB03435,Uridine-5'-Diphosphate
DB01917,Putrescine
DB00590,Doxazosin
DB01436,Alfacalcidol
DB01213,Fomepizole
DB01169,Arsenic trioxide
DB04557,Arachidonic Acid
DB04690,Camptothecin
DB00403,Ceruletide
DB00134,Methionine
DB00999,Hydrochlorothiazide
DB00970,Dactinomycin
DB01024,Mycophenolic acid
DB00844,Nalbuphine
DB03138,Perchlorate
DB00914,Phenformin
DB00929,Misoprostol
DB01428,Oxybenzone
DB01131,Proguanil
DB00549,Zafirlukast
DB00742,Mannitol
DB00333,Methadone
DB01221,Ketamine
DB01200,Bromocriptine
DB00781,Polymyxin B
DB00367,Levonorgestrel
DB01435,Antipyrine
DB01159,Halothane
DB00331,Metformin
DB00685,Trovafloxacin
DB00753,Isoflurane
DB00798,Gentamicin
DB00206,Reserpine
DB01039,Fenofibrate
DB00694,Daunorubicin
DB00544,Fluorouracil
DB01014,Balsalazide
DB00489,Sotalol
DB00394,Beclomethasone dipropionate
DB00465,Ketorolac
DB00563,Methotrexate
DB00359,Sulfadiazine
DB03128,Acetylcholine
DB00457,Prazosin
DB00471,Montelukast
DB02772,Sucrose
DB00855,Aminolevulinic acid
DB01204,Mitoxantrone
DB00201,Caffeine
DB02116,Olomoucine
DB03575,Phencyclidine
DB01320,Fosphenytoin
DB00761,Potassium chloride
DB00186,Lorazepam
DB01954,Rolipram
DB01199,Tubocurarine
DB01248,Docetaxel
DB01536,Androstenedione
DB01592,Iron
DB00624,Testosterone
DB00431,Lindane
DB00646,Nystatin
DB02342,2-Methoxyestradiol
DB01073,Fludarabine
DB00446,Chloramphenicol
DB00762,Irinotecan
DB01933,7-Hydroxystaurosporine
DB04115,Berberine
DB00157,NADH
DB00764,Mometasone
DB00255,Diethylstilbestrol
DB01083,Orlistat
DB00950,Fexofenadine
DB04216,Quercetin
DB00811,Ribavirin
DB00672,Chlorpropamide
DB02709,Resveratrol
DB01211,Clarithromycin
DB01094,Hesperetin
DB04331,Monastrol
DB02056,Prostaglandin D2
DB02546,Vorinostat
DB01224,Quetiapine
DB00512,Vancomycin
DB00783,Estradiol
DB00643,Mebendazole
DB02315,Cyclic GMP
DB00584,Enalapril
DB00391,Sulpiride
DB01420,Testosterone propionate
DB00325,Nitroprusside
DB01576,Dextroamphetamine
DB00118,Ademetionine
DB00859,Penicillamine
DB01060,Amoxicillin
DB01425,Alizapride
DB00741,Hydrocortisone
DB00435,Nitric Oxide
DB00227,Lovastatin
DB01092,Ouabain
DB00977,Ethinylestradiol
DB03796,Palmitic Acid
DB00608,Chloroquine
DB00893,Iron Dextran
DB01236,Sevoflurane
DB00148,Creatine
DB00709,Lamivudine
DB00746,Deferoxamine
DB00612,Bisoprolol
DB00279,Liothyronine
DB00907,Cocaine
DB01418,Acenocoumarol
DB00458,Imipramine
DB00898,Ethanol
DB01118,Amiodarone
DB03696,Lanosterol
DB00433,Prochlorperazine
DB00533,Rofecoxib
DB00466,Picrotoxin
DB01064,Isoprenaline
DB00545,Pyridostigmine
DB00162,Vitamin A
DB00126,Ascorbic acid
DB01262,Decitabine
DB01137,Levofloxacin
DB01030,Topotecan
DB00734,Risperidone
DB00335,Atenolol
DB02169,"9,10-Deepithio-9,10-Didehydroacanthifolicin"
DB01115,Nifedipine
DB00448,Lansoprazole
DB00795,Sulfasalazine
DB01103,Quinacrine
DB01593,Zinc
DB00573,Fenoprofen
DB00235,Milrinone
DB04468,Afimoxifene
DB01577,Metamfetamine
DB00307,Bexarotene
DB01041,Thalidomide
DB00132,alpha-Linolenic acid
DB00541,Vincristine
DB00262,Carmustine
DB04315,Guanosine-5'-Diphosphate
DB04299,Maleic Acid
DB00400,Griseofulvin
DB01345,Potassium cation
DB01628,Etoricoxib
DB00570,Vinblastine
DB03823,Epigallocatechin
DB00951,Isoniazid
DB02527,Cyclic adenosine monophosphate
DB00957,Norgestimate
DB00317,Gefitinib
DB00668,Epinephrine
DB00710,Ibandronate
DB00537,Ciprofloxacin
DB00336,Nitrofural
DB00499,Flutamide
DB01181,Ifosfamide
DB02657,Glucosamine 6-Phosphate
DB00328,Indomethacin
DB00993,Azathioprine
DB00776,Oxcarbazepine
DB00523,Alitretinoin
DB00853,Temozolomide
DB01275,Hydralazine
DB00982,Isotretinoin
DB02656,LY-294002
DB00166,Lipoic acid
DB00483,Gallamine triethiodide
DB00640,Adenosine
DB00580,Valdecoxib
DB03518,Mevalonic acid
DB00572,Atropine
DB00995,Auranofin
DB00772,Malathion
DB00888,Mechlorethamine
DB01229,Paclitaxel
DB00939,Meclofenamic acid
DB02746,Phthalic Acid
DB00250,Dapsone
DB00682,Warfarin
DB04005,Uridine 5'-triphosphate
DB00833,Cefaclor
DB00342,Terfenadine
DB00360,Sapropterin
DB00566,Succimer
DB04106,Fotemustine
DB02577,Mesoheme
DB00127,Spermine
DB00295,Morphine
DB00514,Dextromethorphan
DB00343,Diltiazem
DB00143,Glutathione
DB00788,Naproxen
DB00988,Dopamine
DB00650,Leucovorin
DB00815,Sodium lauryl sulfate
DB00655,Estrone
DB00411,Carbamoylcholine
DB00595,Oxytetracycline
DB00997,Doxorubicin
DB01182,Propafenone
DB00649,Stavudine
DB00883,Isosorbide dinitrate
DB01001,Salbutamol
DB00675,Tamoxifen
DB00599,Thiopental
DB00860,Prednisolone
DB01957,3-Chlorophenol
DB01050,Ibuprofen
DB04258,Seocalcitol
DB02232,"1,2-Dihydroxybenzene"
DB00136,Calcitriol
DB00428,Streptozocin
DB00479,Amikacin
DB00243,Ranolazine
DB00501,Cimetidine
DB00266,Dicoumarol
DB00445,Epirubicin
DB00963,Bromfenac
DB00320,Dihydroergotamine
DB00318,Codeine
DB03946,"3,4-Dihydroxybenzoic Acid"
DB00440,Trimethoprim
DB00218,Moxifloxacin
DB00945,Acetylsalicylic acid
DB04528,"2,4-Dinitrophenol"
DB01240,Epoprostenol
DB00843,Donepezil
DB04551,"beta-D-fructofuranose 1,6-bisphosphate"
DB02557,Phosphoramidon
DB00277,Theophylline
DB00531,Cyclophosphamide
DB01399,Salsalate
DB01097,Leflunomide
DB00382,Tacrine
DB00886,Omapatrilat
DB02967,N-Ethylmaleimide
DB02951,3-Hydroxypyruvic Acid
DB00412,Rosiglitazone
DB01095,Fluvastatin
DB01045,Rifampicin
DB00863,Ranitidine
DB00985,Dimenhydrinate
DB00443,Betamethasone
DB01796,Quinolinic Acid
DB00188,Bortezomib
DB01241,Gemfibrozil
DB01016,Glyburide
DB02587,Colforsin
DB01956,Taurine
DB00975,Dipyridamole
DB01698,Rutin
DB01120,Gliclazide
DB02375,Myricetin
DB01183,Naloxone
DB04743,Nimesulide
DB01392,Yohimbine
DB00290,Bleomycin
DB00151,Cysteine
DB00960,Pindolol
DB00964,Apraclonidine
DB03904,Urea
DB01136,Carvedilol
DB03758,Radicicol
DB02806,2-Methoxyethanol
DB00554,Piroxicam
DB00281,Lidocaine
DB00268,Ropinirole
DB01151,Desipramine
DB00316,Acetaminophen
DB00275,Olmesartan
DB02691,Glycocholic acid
DB00695,Furosemide
DB02300,Calcipotriol
DB01410,Ciclesonide
DB00254,Doxycycline
DB00712,Flurbiprofen
DB00966,Telmisartan
DB01005,Hydroxyurea
DB00407,Ardeparin
DB00678,Losartan
DB01167,Itraconazole
DB00338,Omeprazole
DB02901,Stanolone
DB02502,8-hydroxy-2'-deoxyguanosine
DB02520,Ditiocarb
DB00721,Procaine
DB01085,Pilocarpine
DB01023,Felodipine
DB00193,Tramadol
DB00896,Rimexolone
DB00818,Propofol
DB00796,Candesartan cilexetil
DB00871,Terbutaline
DB00848,Levamisole
DB01216,Finasteride
DB00973,Ezetimibe
DB00834,Mifepristone
DB00363,Clozapine
DB01356,Lithium cation
DB03568,Butyric Acid
DB01852,Kaempherol
DB01080,Vigabatrin
DB00592,Piperazine
DB04572,Thiotepa
DB01595,Nitrazepam
DB01222,Budesonide
DB00550,Propylthiouracil
DB04786,Suramin
DB00586,Diclofenac
DB00925,Phenoxybenzamine
DB01677,Fumaric Acid
DB00247,Methysergide
DB01242,Clomipramine
DB02998,Metribolone
DB00526,Oxaliplatin
DB00917,Dinoprostone
DB00744,Zileuton
DB03783,Phenacetin
DB00583,Levocarnitine
DB01015,Sulfamethoxazole
DB02745,Uridine
DB00477,Chlorpromazine
DB01104,Sertraline
DB00184,Nicotine
DB00530,Erlotinib
DB00019,Pegfilgrastim
DB00494,Entacapone
DB00831,Trifluoperazine
DB00861,Diflunisal
DB00539,Toremifene
DB00829,Diazepam
DB00779,Nalidixic acid
DB00104,Octreotide
DB02262,Orotic acid
DB00441,Gemcitabine
DB00661,Verapamil
DB00927,Famotidine
DB00540,Nortriptyline
DB01128,Bicalutamide
DB00181,Baclofen
DB02145,Butyl alcohol
DB00620,Triamcinolone
DB00207,Azithromycin
DB01011,Metyrapone
DB00334,Olanzapine
DB01189,Desflurane
DB01590,Everolimus
DB00286,Conjugated estrogens
DB01544,Flunitrazepam
DB02325,Isopropyl alcohol
DB00571,Propranolol
DB00958,Carboplatin
DB00439,Cerivastatin
DB01029,Irbesartan
DB00728,Rocuronium
DB04539,Glyphosate
DB00114,Pyridoxal phosphate
DB00341,Cetirizine
DB03467,Naringenin
DB00175,Pravastatin
DB02052,Indirubin-3'-monoxime
DB00502,Haloperidol
DB00398,Sorafenib
DB01395,Drospirenone
DB00724,Imiquimod
DB00602,Ivermectin
DB03866,Prostaglandin G2
DB00399,Zoledronic acid
DB00264,Metoprolol
DB00482,Celecoxib
DB00553,Methoxsalen
DB01034,Cerulenin
DB01101,Capecitabine
DB01234,Dexamethasone
DB01033,Mercaptopurine
DB01683,Chymostatin
DB00633,Dexmedetomidine
DB00222,Glimepiride
DB00542,Benazepril
DB00976,Telithromycin
DB02134,Xanthine
DB00238,Nevirapine
DB00594,Amiloride
DB04348,Taurocholic acid
DB00598,Labetalol
DB01166,Cilostazol
DB00282,Pamidronic acid
DB00720,Clodronic acid
DB00891,Sulfapyridine
DB03255,Phenol
DB00900,Didanosine
DB03066,D-Lactic acid
DB00947,Fulvestrant
DB01296,Glucosamine
DB04571,Trioxsalen
DB00759,Tetracycline
DB00877,Sirolimus
DB01971,trans-urocanic acid
DB04741,Myxothiazol
DB02701,Nicotinamide
DB01645,Genistein
DB00987,Cytarabine
DB00968,Methyldopa
DB04417,P-Nitrophenol
DB01220,Rifaximin
DB04829,Lysergic acid diethylamide
DB01878,Benzophenone
DB02261,Platelet Activating Factor
DB00794,Primidone
DB00490,Buspirone
DB00319,Piperacillin
DB00875,Flupentixol
DB00415,Ampicillin
DB00364,Sucralfate
DB00626,Bacitracin
DB00220,Nelfinavir
DB00330,Ethambutol
DB03347,Triethyl phosphate
DB04827,Urethane
DB04465,Lactose
DB00427,Triprolidine
DB01054,Nitrendipine
DB00271,Diatrizoate
DB02207,7-Nitroindazole
DB00390,Digoxin
DB02852,Domoic Acid
DB00202,Succinylcholine
DB04573,Estriol
DB00909,Zonisamide
DB00180,Flunisolide
DB00847,Cysteamine
DB00978,Lomefloxacin
DB00169,Cholecalciferol
DB00738,Pentamidine
DB03843,Formaldehyde
DB00841,Dobutamine
DB01147,Cloxacillin
DB01412,Theobromine
DB00864,Tacrolimus
DB02379,Beta-D-Glucose
DB00352,Tioguanine
DB00730,Thiabendazole
DB00588,Fluticasone propionate
DB00470,Dronabinol
DB01226,Mivacurium
DB01100,Pimozide
DB00747,Scopolamine
DB01351,Amobarbital
DB01744,Camphor
DB00203,Sildenafil
DB04703,Hesperidin
DB00842,Oxazepam
DB01143,Amifostine
DB01267,Paliperidone
DB00600,Monobenzone
DB00519,Trandolapril
DB01762,Acetoacetic Acid
DB04365,Arecoline
DB04224,Oleic Acid
DB00242,Cladribine
DB04485,Thymidine
DB01156,Bupropion
DB01132,Pioglitazone
DB00083,Botulinum toxin type A
DB01424,Aminophenazone
DB04619,Acetophenone
DB00614,Furazolidone
DB02010,Staurosporine
DB00589,Lisuride
DB02095,Isatin
DB00559,Bosentan
DB00119,Pyruvic acid
DB02166,Propidium
DB00903,Etacrynic acid
DB03760,Dihydrolipoic Acid
DB00623,Fluphenazine
DB00981,Physostigmine
DB00822,Disulfiram
DB00918,Almotriptan
DB00803,Colistin
DB01057,Echothiophate
DB01059,Norfloxacin
DB00679,Thioridazine
DB04120,"4-Methyl-1,2-Benzenediol"
DB00991,Oxaprozin
DB01184,Domperidone
DB00179,Masoprocol
DB01119,Diazoxide
DB01065,Melatonin
DB04831,Tienilic acid
DB01186,Pergolide
DB01192,Oxymorphone
DB04815,Clioquinol
DB01075,Diphenhydramine
DB02789,Pregnenolone
DB01688,P-Cresol
DB01403,Methotrimeprazine
DB01819,Phosphoenolpyruvate
DB01997,3-Bromo-7-Nitroindazole
DB00438,Ceftazidime
DB01393,Bezafibrate
DB00297,Bupivacaine
DB00943,Zalcitabine
DB02536,D-glyceraldehyde
DB00770,Alprostadil
DB00178,Ramipril
DB00635,Prednisone
DB04311,4-Phenylbutylamine
DB00684,Tobramycin
DB01212,Ceftriaxone
DB00786,Marimastat
DB01002,Levobupivacaine
DB01452,Diamorphine
DB01283,Lumiracoxib
DB01700,AICA ribonucleotide
DB03454,"3-methyl-benzene-1,2-diol"
DB03345,Mercaptoethanol
DB00379,Mexiletine
DB00797,Tolazoline
DB00836,Loperamide
DB03902,Oxalic Acid
DB00638,Inulin
DB02249,2-Ethoxyethanol
DB00949,Felbamate
DB03193,Stearic acid
DB01088,Iloprost
DB00704,Naltrexone
DB00812,Phenylbutazone
DB00669,Sumatriptan
DB01509,Tenamfetamine
DB00575,Clonidine
DB00928,Azacitidine
DB04166,Anthranilic acid
DB02740,3-Indolebutyric Acid
DB01190,Clindamycin
DB01165,Ofloxacin
DB00285,Venlafaxine
DB01036,Tolterodine
DB02130,Vanillic acid
DB00171,ATP
DB00707,Porfimer sodium
DB00301,Flucloxacillin
DB02021,Fidarestat
DB01149,Nefazodone
DB00240,Alclometasone
DB01162,Terazosin
DB01013,Clobetasol propionate
DB00885,Pemirolast
DB02073,Biliverdine IX Alpha
DB00378,Dydrogesterone
DB02263,Glyceraldehyde-3-Phosphate
DB00827,Cinoxacin
DB01032,Probenecid
DB00700,Eplerenone
DB00276,Amsacrine
DB00789,Gadopentetic acid
DB00778,Roxithromycin
DB01950,AR-AO-14418
DB01580,Oxprenolol
DB00261,Anagrelide
DB01367,Rasagiline
DB00696,Ergotamine
DB00959,Methylprednisolone
DB00022,Peginterferon alfa-2b
DB00813,Fentanyl
DB00182,Amphetamine
DB01009,Ketoprofen
DB00630,Alendronic acid
DB00688,Mycophenolate mofetil
DB00273,Topiramate
DB00657,Mecamylamine
DB00139,Succinic acid
DB01586,Ursodeoxycholic acid
DB00948,Mezlocillin
DB01373,Calcium
DB00787,Acyclovir
DB00627,Niacin
DB02659,Cholic Acid
DB00472,Fluoxetine
DB00115,Cyanocobalamin
DB01598,Imipenem
DB00518,Albendazole
DB01017,Minocycline
DB00648,Mitotane
DB01076,Atorvastatin
DB00920,Ketotifen
DB00681,Amphotericin B
DB01177,Idarubicin
DB01880,"3,4-Dihydroxycinnamic Acid"
DB00304,Desogestrel
DB02187,Equilin
DB00974,Edetic acid
DB01098,Rosuvastatin
DB00468,Quinine
DB01862,Isopropyl beta-D-thiogalactopyranoside
DB02860,Calyculin A
DB04751,Purvalanol A
DB00718,Adefovir dipivoxil
DB04160,Pyrophosphoric acid
DB01437,Glutethimide
DB01599,Probucol
DB01268,Sunitinib
DB01339,Vecuronium
DB00369,Cidofovir
DB00890,Dienestrol
DB01429,Aprindine
DB00990,Exemestane
DB00622,Nicardipine
DB00845,Clofazimine
DB00406,Gentian violet cation
DB01114,Chlorpheniramine
DB01254,Dasatinib
DB01099,Flucytosine
DB00244,Mesalazine
DB01129,Rabeprazole
DB00605,Sulindac
DB01108,Trilostane
DB00215,Citalopram
DB00790,Perindopril
DB00780,Phenelzine
DB00852,Pseudoephedrine
DB04137,Guanosine-5'-Triphosphate
DB03819,Salicylhydroxamic Acid
DB00337,Pimecrolimus
DB00740,Riluzole
DB00857,Terbinafine
DB00321,Amitriptyline
DB00168,Aspartame
DB00507,Nitazoxanide
DB01223,Aminophylline
DB03864,Monothioglycerol
DB00731,Nateglinide
DB01161,Chloroprocaine
DB00819,Acetazolamide
DB04841,Flunarizine
DB00380,Dexrazoxane
DB00348,Nitisinone
DB00757,Dolasetron
DB00642,Pemetrexed
DB01726,2-Aminophenol
DB03619,Deoxycholic acid
DB00881,Quinapril
DB02044,N-[3-(aminomethyl)benzyl]acetamidine
DB00322,Floxuridine
DB00548,Azelaic acid
DB01609,Deferasirox
DB00908,Quinidine
DB00865,Benzphetamine
DB00309,Vindesine
DB00996,Gabapentin
DB00867,Ritodrine
DB04076,Hypoxanthine
DB02347,2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid
DB03880,Batimastat
DB03166,Acetic acid
DB00187,Esmolol
DB00705,Delavirdine
DB00293,Raltitrexed
DB00784,Mefenamic acid
DB00291,Chlorambucil
DB04812,Benoxaprofen
DB01276,Exenatide
DB02053,Ribose-5-phosphate
DB04840,Debrisoquine
DB00810,Biperiden
DB00420,Promazine
DB00278,Argatroban
DB01400,Neostigmine
DB00717,Norethisterone
DB01844,"N,N-dimethylformamide"
DB01364,Ephedrine
DB02679,Cyanamide
DB00475,Chlordiazepoxide
DB02329,Carbenoxolone
DB02417,"2,4,6-Tribromophenol"
DB02266,Flufenamic acid
DB00224,Indinavir
DB01232,Saquinavir
DB02513,Thymol
DB01124,Tolbutamide
DB04104,3-Methyladenine
DB03462,Thymine
DB00581,Lactulose
DB00173,Adenine
DB00426,Famciclovir
DB00816,Orciprenaline
DB00230,Pregabalin
DB00368,Norepinephrine
DB00165,Pyridoxine
DB00491,Miglitol
DB00370,Mirtazapine
DB00292,Etomidate
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid"
DB01606,Tazobactam
DB00137,Lutein
DB03052,Dazoxiben
DB00141,N-Acetylglucosamine
DB00413,Pramipexole
DB04819,Methapyrilene
DB00715,Paroxetine
DB00677,Isoflurophate
DB01113,Papaverine
DB00409,Remoxipride
DB01004,Ganciclovir
DB00692,Phentolamine
DB00825,Levomenthol
DB03703,Cyclohexanol
DB03057,Malonaldehyde
DB00708,Sufentanil
DB03167,Pentabromophenol
DB00887,Bumetanide
DB03754,Tromethamine
DB00689,Cephaloglycin
DB00213,Pantoprazole
DB00613,Amodiaquine
DB00821,Carprofen
DB03419,Uracil
DB00619,Imatinib
DB00107,Oxytocin
DB00656,Trazodone
DB03895,Malachite Green
DB01058,Praziquantel
DB00723,Methoxamine
DB02224,Taxifolin
DB01357,Mestranol
DB00450,Droperidol
DB00806,Pentoxifylline
DB01388,Mibefradil
DB01035,Procainamide
DB00332,Ipratropium
DB00737,Meclizine
DB00625,Efavirenz
DB00716,Nedocromil
DB00529,Foscarnet
DB00384,Triamterene
DB00361,Vinorelbine
DB02855,N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline
DB01062,Oxybutynin
DB00916,Metronidazole
DB00752,Tranylcypromine
DB02406,N-Valeric Acid
DB00561,Doxapram
DB00698,Nitrofurantoin
DB00732,Atracurium besylate
DB00528,Lercanidipine
DB01008,Busulfan
DB01238,Aripiprazole
DB00492,Fosinopril
DB00225,Gadodiamide
DB00508,Triflupromazine
DB00346,Alfuzosin
DB01338,Pipecuronium
DB00191,Phentermine
DB01515,Benzoylecgonine
DB00618,Demeclocycline
DB01205,Flumazenil
DB00555,Lamotrigine
DB01927,Duroquinone
DB01022,Phylloquinone
DB01203,Nadolol
DB01142,Doxepin
DB00637,Astemizole
DB00577,Valaciclovir
DB00432,Trifluridine
DB00807,Proparacaine
DB01055,Mimosine
DB00356,Chlorzoxazone
DB00205,Pyrimethamine
DB04821,Nomifensine
DB00050,Cetrorelix
DB00257,Clotrimazole
DB03766,Propanoic acid
DB00808,Indapamide
DB04209,Dequalinium
